id;title;content;state;published_date;author;language;location;article_image_id
1;Warum Tiere unser Leben bereichern;../fake-data/blob/article1_de.txt;PUBLISHED;2025-04-20T21:14:28;gah Kamel operieren;GERMAN;TEASER;1
2;Der Alltag in einer Tierarztpraxis;../fake-data/blob/article2_de.txt;PUBLISHED;2025-04-20T23:31:30;texten stadtauswärts zeitweise;GERMAN;HOME;2
3;Die häufigsten Gesundheitsprobleme bei Haustieren;../fake-data/blob/article3_de.txt;PUBLISHED;2025-04-21T13:53:08;verbrannt Chirurgie;GERMAN;HOME;3
4;Moderne Tiermedizin: Innovationen, die Leben retten;../fake-data/blob/article4_de.txt;PUBLISHED;2025-04-20T16:23:10;qualifiziert laichen klonen;GERMAN;HOME;4
5;Wie wir unseren Tieren ein gesundes Leben schenken können;../fake-data/blob/article5_de.txt;PUBLISHED;2025-04-20T17:27:11;who;GERMAN;HOME;5
6;Warum Tiere unser Leben bereichern;../fake-data/blob/article1_de.txt;PUBLISHED;2025-04-20T18:07:24;fooey hervor engagiert;GERMAN;HOME;6
7;Der Alltag in einer Tierarztpraxis;../fake-data/blob/article2_de.txt;CREATED;2025-04-21T09:03:44;ehrwürdig ragen nor;GERMAN;HOME;7
8;Die häufigsten Gesundheitsprobleme bei Haustieren;../fake-data/blob/article3_de.txt;PUBLISHED;2025-04-21T01:33:50;schwänzeln je;GERMAN;HOME;8
9;Moderne Tiermedizin: Innovationen, die Leben retten;../fake-data/blob/article4_de.txt;CREATED;2025-04-21T14:39:17;boohoo binnen haufenweise;GERMAN;TEASER;9
10;Wie wir unseren Tieren ein gesundes Leben schenken können;../fake-data/blob/article5_de.txt;CLOSED;2025-04-21T03:21:10;Ellenbogen yuck Wille;GERMAN;TEASER;10
